ItemCode,Item Description,Category
850KR-019M,Pac-dent Diamond Bur Taper Rnd,Bur
850KR-019M-10,"DIAMOND BUR, TAPER RND, 10/PK",Bur
850KR-019M-5,"DIAMOND BUR, TAPER RND, 5/PK",Bur
851-012F,Pac-Dent Diamond Bur 851-012F 851 Safe End Taper. Fine (Red),Bur
851-012F-10,"Pac-Dent, Diamond Bur, 851-012F, 851 Safe End Taper. Fine (Red)",Bur
851-012M-10,DIAMOND BUR 851 SAFE END TAPER MEDIUM (BLUE) 10/PK,Bur
852-012C,Pac-Dent Diamond Bur 852-012C Pointed Taper 012 Dia Coarse (Green),Bur
852-012C-10,"Pac-Dent, Diamond Bur, 852-012C, Pointed Taper, 012 Dia, Coarse (Green)",Bur
852-012F,Pac-Dent Diamond Bur 852-012F Pointed Taper 012 Dia Fine (Red),Bur
852-012F-10,"Pac-Dent, Diamond Bur, 852-012F, Pointed Taper, 012 Dia, Fine (Red)",Bur
852-012F-5,"DIAMOND BUR, POINTED TAPER, 012 DIA, FINE (RED), 5/PK",Bur
855-012-25,"DIAMOND BUR, 771.7C 25/PK",Bur
855-012C,Pac-Dent Diamond Bur 855-012C,Bur
855-012C-10,"Pac-Dent, Diamond Bur, 855-012C",Bur
855-012C-5,"DIAMOND BUR, ROUND-END TAPER DIA 012 COARSE, 5/PK",Bur
855-012F,Pac-Dent Diamond Bur 855-012F Round-End Taper 012 Dia Fine (Red),Bur
855-012F-10,"Pac-Dent, Diamond Bur, 855-012F, Round-End Taper, 012 Dia, Fine (Red)",Bur
855-012F-5,"DIAMOND BUR, ROUND-END TAPER, 012 DIA, FINE (RED), 5/PK",Bur
855-012M,Pac-Dent Diamond Bur 855-012M Round-End Taper 012 Dia Medium (Blue),Bur
855-012M-10,"Pac-Dent, Diamond Bur, 855-012M, Round-End Taper, 012 Dia, Medium (Blue)",Bur
855-012M-5,"DIAMOND BUR, ROUND-END TAPER, 012 DIA, MEDIUM (BLUE), 5/PK",Bur
855-016C,Pac-Dent Diamond Bur 855-016C Round-End Taper 016 Dia Coarse,Bur
855-016C-10,"Pac-Dent, Diamond Bur, 855-016C, Round-End Taper, 016 Dia, Coarse, 10/pk",Bur
855-016F,Pac-Dent Galil Diamond Bur 855 Round-End Taper Dia 016 Fine (Red),Bur
855-016F-10,Pac-Dent Galil Diamond Bur 855 Round-End Taper Dia 016 Fine (Red),Bur
855-016M,Pac-Dent Diamond Bur 855-016M Round-End Taper 016 Dia Medium (Blue),Bur
855-016M-10,"Pac-Dent, Diamond Bur, 855-016M, Round-End Taper, 016 Dia, Medium (Blue)",Bur
855-016M-5,"DIAMOND BUR, ROUND-END TAPER, 016 DIA, MEDIUM (BLUE), 5/PK",Bur
855-016SC,Pac-Dent Diamond Bur 855-016SC Round-End Taper 016 Dia Super Coarse (Black),Bur
855-016SC-10,"Pac-Dent, Diamond Bur, 855-016SC, Round-End Taper, 016 Dia, Super Coarse (Black)",Bur
855-016SC-100,SPRING DIAMOND BURS 772.7 C,Bur
855-018C,Pac-Dent Diamond Bur 855-018C Round-End Taper Coarse (Green),Bur
855-018C-10,"Pac-Dent, Diamond Bur, 855-018C, Round-End Taper, Coarse (Green)",Bur
855-018C-100,"DIAMOND BUR, ROUND-END TAPER, 018 DIA, COARSE (GREEN), 100/PK",Bur
855-018c-25,"DIAMOND BUR, ROUND-END TAPER, 018 DIA, COARSE (GREEN), 25/PK",Bur
855-018C-5,DIAMOND BUR TAPER ROUND 5/PK,Bur
855-018M,Pac-Dent Diamond Bur 855-018M Round-End Taper Medium (Blue),Bur
855-018M-10,"Pac-Dent, Diamond Bur, 855-018M, Round-End Taper, Medium (Blue)",Bur
855-018M-5,"DIAMOND BUR TAPER ROUND, 5/PK",Bur
855-021C,Pac-Dent Diamond Bur Green Slim Taper Round End,Bur
855-021C-10,"Pac-Dent, Diamond Bur Green Slim Taper Round End",Bur
855-025F-10,"DIAMOND BUR, ROUND-END TAPER, 025 DIA, FINE (RED), 10/PK",Bur
856-012-25,"DIAMOND BUR,774.8C, 25/PK",Bur
856-016,ZIRCONIA PREP DIAMOND,Bur
856-016C,Pac-Dent Diamond Bur 856-016C Taper Round,Bur
856-016C-10,"Pac-Dent, Diamond Bur, 856-016C, Taper, Round",Bur
856-016C-5,DIAMOND BUR TAPER ROUND 5/PK,Bur
856-016F,"DIAMOND BUR ROUND END-TAPER 016 FINE RED, 10PIECES/PK",Bur
856-016SC,Pac-Dent Diamond Bur Round-End Taper Dia 016 Super Coarse Black,Bur
856-016SC-10,"DIAMOND NUR FRICTION GRIP, SUPER COARSE 10/PK",Bur
856-018,ZIRCONIA PREP DIAMOND,Bur
856-018C,Pac-Dent Diamond Bur 856-018C Taper Round Coarse,Bur
856-018C-10,"Pac-Dent, Diamond Bur, 856-018C, Taper, Round, Coarse",Bur
856-018C-100,"DIAMOND BUR ,TAPER ROUND, COARSE, 100/PK",Bur
856-018C-25,"DIAMOND BUR ,TAPER ROUND, COARSE, 25/PK",Bur
856-018C-5,"DIAMOND BUR TAPER ROUND. COARSE, 5/PK",Bur
856-018M,856-018M Galil Diamond Bur 856 Round-End Taper Dia 018 Medium (Blue),Bur
856-018SC,Pac-Dent Galil Diamond Bur 856 Round-end Taper Dia 018 Black Super Coarse,Bur
856-018SC-10,"Pac-Dent, Galil Diamond Bur, 856 Round-end Taper Dia 018, Black, Super Coarse",Bur
856-021C,"DIAMOND BUR, ROUND-END TAPER, DIA 021 COARSE, GREEN",Bur
856-021F-10,"DIAMOND BUR, ROUND-END TAPER, DIA 021 FINE, RED",Bur
856-021M-10,"DIAMOND BUR, ROUND-END TAPER, DIA 021 MEDIUM, BLUE",Bur
856-021SC,Pac-Dent Diamond Bur Galil Diamond Bur 856 Round-End Taper Dia 021 Super Coarse (Black),Bur
856-021SC-10,"DIAMOND BUR, ROUND-END TAPER, DIA 021 SUPER COARSE, 10/PK",Bur
856-023-100,DIAMOND BUR,Items
856-023-25,"DIAMOND BUR, 775.7C, 25/PK",Bur
856-025,ZIRCONIA PREP DIAMOND,Bur
856-025C,Pac-Dent Diamond Bur 856-025C Round-End Taper Coarse Green,Bur
856-025C-10,"Pac-Dent, Diamond Bur, 856-025C, Round-End Taper, Coarse, Green",Bur
856-025F,Pac-Dent Diamond Bur 856-025F Round-End Taper Fine (Red),Bur
856-025F-10,"Pac-Dent, Diamond Bur, 856-025F, Round-End Taper, Fine (Red)",Bur
856-025F-5,"DIAMOND BUR, ROUND-END TAPER, 025 DIA, FINE (RED), 5/PK",Bur
856-025SC,Pac-Dent Diamond Bur 856-025SC,Bur
856-025SC-10,Pac-Dent Diamond Bur 856-025SC,Bur
856-025SC-100,DIAMOND BUR 856-025SC,Bur
858-012C,Pac-Dent Diamond Bur 858-012C Pointed Taper Coarse (Green),Bur
858-012C-10,"Pac-Dent, Diamond Bur, 858-012C, Pointed Taper, Coarse (Green)",Bur
858-012F,Pac-Dent Diamond Bur 858-012F Pointed Taper Fine (Red),Bur
858-012F-10,"Pac-Dent, Diamond Bur, 858-012F, Pointed Taper, Fine (Red)",Bur
858-014F,Pac-Dent Diamond Bur 858-014F Pointed Taper Fine (Red),Bur
858-014F-10,"Pac-Dent, Diamond Bur, 858-014F, Pointed Taper, Fine (Red)",Bur
858-014M,Pac-Dent Diamond Bur 858-014M Pointed Taper Medium (Blue),Bur
858-014M-10,"Pac-Dent, Diamond Bur, 858-014M, Pointed Taper, Medium (Blue)",Bur
858-014SC-10,SPRING DIAMOND BUR 230SC 10/PK,Bur
858-014SC-100,SPRING DIAMOND BURS 858-025 SC,Bur
859-014M,Pac-Dent Diamond Bur 859-014M Pointed Taper Medium (Blue),Bur
859-014M-10,"Pac-Dent, Diamond Bur, 859-014M, Pointed Taper, Medium (Blue)",Bur
859-016C-10,DIAMOND BUR NEEDLE 10/PK,Bur
859-016C-5,DIAMOND BUR NEEDLE 5/PK,Bur
859-016F,Pac-Dent Diamond Bur 859-016F,Bur
859-016F-10,"Pac-Dent, Diamond Bur, 859-016F",Bur
859-016M,Pac-Dent Diamond Bur 859-016M Pointed Taper Medium (Blue),Bur
859-016M-10,"Pac-Dent, Diamond Bur, 859-016M, Pointed Taper, Medium (Blue)",Bur
861-016M-10,"DIAMOND BUR, FLAME, 016 DIA, MEDIUM (BLUE), 10/PK",Bur
862-012C,Pac-Dent Galil Diamond Bur 862 Flame Dia 012 Coarse(Green),Bur
862-012C-10,"Pac-Dent, Galil Diamond Bur, 862 Flame Dia 012 Coarse(Green)",Bur
862-012F,Pac-Dent Galil Diamond Bur 862 Flame Dia 012 Fine(Red),Bur
862-012F-10,"Pac-Dent, Galil Diamond Bur, 862 Flame Dia 012 Fine(Red)",Bur
862-012F-25,"DIAMOND BUR, 25/PK",Bur
862-012M,Pac-Dent Galil Diamond Bur 862 Flame Dia 012 Mediu Coarse(Blue),Bur
862-012M-10,"Pac-Dent, Galil Diamond Bur, 862 Flame Dia 012 Mediu Coarse(Blue)",Bur
862-012SC,Pac-Dent Galil Diamond Bur 862 Flame Dia 012 Super Coarse(Black),Bur
862-012SC-10,"Pac-Dent, Galil Diamond Bur, 862 Flame Dia 012 Super Coarse(Black)",Bur
862-014F,Pac-Dent Diamond Bur 862-014F Flame Fine (Red),Bur
862-014F-10,"Pac-Dent, Diamond Bur, 862-014F, Flame, Fine (Red)",Bur
862-016C,Pac-Dent Diamond Bur 862-016C Flame Coarse (Green),Bur
862-016C-10,"Pac-Dent, Diamond Bur, 862-016C, Flame, Coarse (Green)",Bur
862-016F,Pac-Dent Diamond Bur 862-016F Flame Flame Fine (Red),Bur
862-016F-10,"Pac-Dent, Diamond Bur, 862-016F, Flame, Flame, Fine (Red)",Bur
862-016M,Pac-Dent Diamond Bur 862-016M Flame Medium (Blue),Bur
862-016M-10,"Pac-Dent, Diamond Bur, 862-016M, Flame, Medium (Blue)",Bur
862-016M-5,"DIAMOND BUR, FLAME, 016 DIA, MEDIUM (BLUE), 5/PK",Bur
862-016SC,Pac-Dent Diamond Bur 368-016SC,Bur
862-016SC-10,"Pac-Dent, Diamond Bur, 368-016SC",Bur
863-012,ZIRCONIA PREP DIAMOND,Bur
863-012C,Pac-Dent Diamond Bur Galil Diamond Bur 863 Flame Dia 012 Coarse (Green),Bur
863-012F,Pac-Dent Diamond Bur Galil Diamond Bur 863 Flame Dia Fine(Red),Bur
863-012M,Pac-dent Diamond Bur Flame Medium,Bur
863-012M-10,"DIAMOND BUR FLAME, MEDIUM, 10/PK",Bur
863-012M-5,DIAMOND BUR FLAME 5/PK,Bur
877K-012M,Pac-Dent Galil Diamond Bur 877K Gingival Curetage Dia 012 Medium (Blue),Bur
877K-012M-10,Pac-Dent Galil Diamond Bur 877K Gingival Curetage Dia 012 Medium (Blue),Bur
878-012C,Pac-Dent Galil Diamond Bur 878 Torpedo Dia 012 Coarse (Green),Bur
878-012C-10,Pac-Dent Galil Diamond Bur 878 Torpedo Dia 012 Coarse (Green),Bur
878-012M,Pac-Dent Galil Diamond Bur 878 Torpedo Dia 012 Medium (Blue),Bur
878-012M-10,Pac-Dent Galil Diamond Bur 878 Torpedo Dia 012 Medium (Blue),Bur
878K-012SC,Pac-Dent Galil Diamond Bur 878k Gingival Curettage Dia 012 Super Coarse (Black),Bur
878K-014M,Pac-Dent Diamond Bur 878K-014M Gingival Curetage Medium (Blue),Bur
878K-014M-10,"Pac-Dent, Diamond Bur, 878K-014M, Gingival Curetage, Medium (Blue)",Bur
878K-014SC,Pac-Dent Diamond Bur 878K-014SC Gingival Curetage Super Coarse (Black),Bur
878K-014SC-10,"Pac-Dent, Diamond Bur, 878K-014SC, Gingival Curetage, Super Coarse (Black)",Bur
878K-014SC-5,"DIAMOND BUR, GINGIVAL CURETAGE, 014 DIA, SUPER COARSE (BLACK), 5/PK",Bur
878K-016M-10,"GALIL DIAMOND BUR 878K GINGIVAL CURETAGE DIA 016 MEDIUM (BLUE), 10 PIECES/PK",Bur
878K-016SC,Pac-Dent Galil Diamond Bur 878K Gingival Curetage Dia 016 Super Coarse (Black),Bur
878K-016SC-10,Pac-Dent Galil Diamond Bur 878K Gingival Curetage Dia 016 Super Coarse (Black),Bur
878K-021,ZIRCONIA PREP DIAMOND,Bur
879-014C,"DIAMOND BUR, GINGIVAL CURETAGE DIA 014, COARSE",Bur
879-014C-10,"DIAMOND BUR, GINGIVAL CURETAGE DIA 014, COARSE, 10/PK",Bur
879-016C,Pac-Dent Diamond Bur Galil Diamond bur 879 Torpedo Dia 016 Coarse (Green),Bur
879-016C-10,Galil Diamond bur 879 Torpedo Dia 016 Coarse (Green),Bur
879-016M-10,"GALIL DIAMOND BUR 879 TORPEDO DIA 016 MEDIUM (BLUE), 10 PIECES/PK",Bur
879K-018M,Pac-Dent Diamond Bur 879K-018M Gingival Curetage Medium (Blue),Bur
879K-018M-10,"Pac-Dent, Diamond Bur, 879K-018M, Gingival Curetage, Medium (Blue)",Bur
879K-018M-5,"DIAMOND BUR, GINGIVAL CURETAGE, 018 DIA, MEDIUM (BLUE), 5/PK",Bur
879K-018SC,Pac-Dent Galil Diamond Bur 879K Gingival Curetage Dia 018 Super Coarse (Black),Bur
879K-018SC-10,Pac-Dent Galil Diamond Bur 879K Gingival Curetage Dia 018 Super Coarse (Black),Bur
881-014,ZIRCONIA PREP DIAMOND,Bur
885-012C,Pac-Dent Diamond Bur 885-012C Cone-End Cylinder Coarse (Green),Bur
885-012C-10,"Pac-Dent, Diamond Bur, 885-012C, Cone-End Cylinder, Coarse (Green)",Bur
885-012F,Pac-Dent Diamond Bur 885-012F Cone Cylinder Fine (Red),Bur
885-012F-10,"Pac-Dent, Diamond Bur, 885-012F, Cone Cylinder, Fine (Red)",Bur
885-012M,Pac-Dent Diamond Bur Galil Diamond Bur 885 Cone-End Cylinder Dia 012 Medium (Blue),Bur
888-012F-10,"DIAMOND BUR 888 FLAME DIA 012 FINE, RED, 10/PK",Bur
888-012M-10,"DIAMOND BUR 888 FLAME DIA 012 MEDIUM, BLUE, 10/PK",Bur
888-368-018C-10,DIAMOND BUR FOOTBALL COARSE 10/PK,Bur
889-009M,"DIAMOND BUR, 889 FLAME DIA 009 MEDIUM BLUE",Bur
9000/120,Metrex/Kerr Prophy Cup Screw In Soft Cup Teal Pantone#332M,Preventive
9000/30,Metrex/Kerr Prophy Cup Screw In Soft Cup Teal Pantone#332M,Preventive
900-0051,"010# SURGICAL ASPIRATOR SMALL,BLUE 25/PK 25PKS/CS PARKWAY",Cosmetic&Restoration
900-0052,"009# SURGICAL ASPIRATOR STANDARD,WHITE 25/PK 25PKS/CS PARKWAY",Cosmetic&Restoration
900-0053,"008#SURGICAL ASPIRATOR LARGE,GREEN 25/PK 25PKS/CS PARKWAY",Components
9001/120,Metrex/Kerr Prophy Cup Screw In Soft Cup Web Type Grey Pantone#442M,Preventive
9001/30,Metrex/Kerr Prophy Cup Screw In Soft Cup Web Type Grey Pantone#442M,Preventive
9002/120,Metrex/Kerr Prophy Cup Screw In Firm Cup Web Cup Grey Pantone#445M,Preventive
9002/30,Metrex/Kerr Prophy Cup Screw In Firm Cup Web Cup Grey Pantone#445M,Preventive
9003/120,Metrex/Kerr Prophy Cup Screw In Pointed Polisher Pantone#7502M,Preventive
9003/30,Metrex/Kerr Prophy Cup Screw In Pointed Polisher Pantone#7502M,Preventive
9004/120,Metrex/Kerr Prophy Cup Screw In Torque Cup Pantone#264M,Preventive
9004/30,Metrex/Kerr Prophy Cup Screw In Torque Cup Pantone#264M,Preventive
9005/120,Metrex/Kerr Prophy Cup Snap On Soft Cup Orange Pantone#142M,Preventive
9005/30,Metrex/Kerr Prophy Cup Snap On Soft Cup Orange Pantone#142M,Preventive
9006/120,Metrex/Kerr Prophy Cup Latch Type Soft Cup Web Type Pantone#382M,Preventive
9006/30,Metrex/Kerr Prophy Cup Latch Type Soft Cup Web Type Pantone#382M,Preventive
9007/120,Metrex/Kerr Prophy Cup Latch Type Soft Cup Fin Type Pantone#203M,Preventive
9007/30,Metrex/Kerr Prophy Cup Latch Type Soft Cup Fin Type Pantone#203M,Preventive
9008/120,Metrex/Kerr Prophy Cup Latch Type Firm Cup Fin Type Pantone#214M,Preventive
9008/30,Metrex/Kerr Prophy Cup Latch Type Firm Cup Fin Type Pantone#214M,Preventive
9009/120,Metrex/Kerr Prophy Cup Latch Type With Brush In The Middle White,Preventive
9009/30,Metrex/Kerr Prophy Cup Latch Type With Brush In The Middle White,Preventive
9010/120,Metrex/Kerr Prophy Cup Snap On Firm Cup Orange Pantone#144M,Preventive
9010/30,Metrex/Kerr Prophy Cup Snap On Firm Cup Orange Pantone#144M,Preventive
9011/120,Metrex/Kerr Prophy Cup Latch Type Firm Cup Web Type Pantone#369M,Preventive
9011/30,Metrex/Kerr Prophy Cup Latch Type Firm Cup Web Type Pantone#369M,Preventive
9061160-25,9061160-25# 3.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
9061161-25,9061161-25# 4.5mm Curved Matrix Re-Fill -Qty 25,Cosmetic&Restoration
9061161-80,9061161-80# 4.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
9061162-25,5.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
9061162-80,9061162-80# 5.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
9061163-25,9061163-25# 6.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
9061163-80,9061163-80# 6.5mm Curved Matrix Re-Fill,Cosmetic&Restoration
90789-1,Disposa-Shield Trial,Infection Control
909-042C-10,"DIAMOND BUR WHEEL, COARSE, 10/PK",Bur
909-042C-5,"DIAMOND BUR, WHEEL DIA 042, COARSE, 5/PK",Bur
909-045C,SPRING DIAMOND BUR,Bur
909-045C-10,"SPRING DIAMOND BUR, 10/PK",Bur
909-050C,Pac-Dent Diamond Bur 909-050C Wheel Coarse (Green),Bur
909-050C-10,"Pac-Dent, Diamond Bur, 909-050C, Wheel, Coarse (Green)",Bur
909-050C-5,"DIAMOND BUR, WHEEL, 050 DIA, COARSE, 5/PK",Bur
909-050M,Pac-Dent Diamond Bur 909-050M Wheel Medium (Blue),Bur
909-050M-10,"Pac-Dent, Diamond Bur, 909-050M, Wheel, Medium (Blue)",Bur
909-050M-5,"DIAMOND BUR, WHEEL DIA 050 MEDIUM, 5/PK",Bur
93101-A,"Perio Armor 1.7% HP Oral Cleansing Gel Mint 1 * 3.0 oz, 6 Tubes/Pack",Whitening
93102-A,"Perio Armor 1.7% HP Oral Cleaning Gel Strawberry 3.0 oz, 6 Tubes/Pack",Preventive
93103-A,"Perio Armor 1.7% HP Oral Cleaning Gel Bubblegum 3.0 oz, 6Tubes/Pack",Preventive
9521735D,"Darby Assorted/48Trays, 12 each #7-#10, Perforated",Impression & Accs
9521736D,"Darby Assorted/120 Trays, 12 each #1-#10, Perforated",Impression & Accs
9521860D,"Darby Assorted/120Trays, 12 each #1-#6 Perforated, #7-#10 Non-Perforated",Impression & Accs
9521861D,"Darby Assorted/72Trays, 12 each #1-#6, Perforated",Impression & Accs
9521862D,"Darby Assorted/48Trays, 12 each #7-#10, Non-Perforated",Impression & Accs
954235G,iVac  Tips 0.35 27mm green 20/pk,Endodontic
954250Y,iVac Tips 0.50 27mm yellow 20/pk,Endodontic
9542ACT,iVac Angled capillary tip 10/pk,Endodontic
9542EC,iVac E-type Piezo Connector with 2 rings 1/pk,Endodontic
9542EC_COM,1 X iVac type E connector,Components
9542IVC,iVac Intro Kit,Endodontic
9542LTA,iVac Long Silicone Tubing and Connectors 1/pk,Endodontic
9542PS,iVac LED Piezo Ultrasonic Scaler Unit,Endodontic
9542R,iVac Rings 2/pk,Endodontic
9542RB,iVac Reservoir bottles 3/pk,Endodontic
9542SC,iVac S-type Piezo Connector with 2 rings 1/pk,Endodontic
9542SC_COM,1 X iVac type S connector,Components
9542ST,iVac Short Silicone Tubing and Connectors 5/pk,Endodontic
965049-1,Dentsply DPA  90D - Soft Multi-NPR Revolv,Preventive
965158-1,Dentsply Spiral Contra Dpalav.NPR Free,Preventive
965158-2,Dentsply Spiral Contra Dpapnk.NPR Free,Preventive
965159-1,Dentsply Soft 90D Dpalavndr NUPRO Free,Preventive
965159-2,Dentsply Soft 90D Dpapink NUPRO Free,Preventive
A12,"GEL, 12% ACTIVATOR",Components
A12 (1:1),"GEL, 12% ACTIVATOR, FOR 1:1 DUAL-BARREL",Components
A12 (1:1) NOF,"GEL, 12% ACTIVATOR, FOR 1:1 DUAL-BARREL WITHOUT FLUORIDE",Components
A12 (1:4),"GEL, 12% ACTIVATOR, FOR 1:4 DUAL-BARREL",Components
A-174NT,Silquest A-174 NT,Raw Mats and Spares
A-20,AEROSIL ® 200,Raw Mats and Spares
A22,"GEL, 22% ACTIVATOR",Components
A279640,G-VIAL REFILL - QVC VERSION,Components
A290056,BRILLIANT TAKE HOME KIT - QVC VERSION,Components
A299865,GLO POP - QVC VERSION,Components
A-30,AEROSIL ® 300,Raw Mats and Spares
A30 1:1,"GEL, 30% ACTIVATOR FOR 1:1 DUAL-BARREL",Components
A30 1:1 NOF,"GEL, 30% ACTIVATOR FOR 1:1 DUAL-BARREL WITHOUT FLUORIDE",Components
A30 1:4,"GEL, 30% ACTIVATOR FOR 1:4 DUAL-BARREL",Components
A308164,BRILLIANT TAKE HOME KIT - QVC VERSION (GVIAL 2.0),Components
A308167,NEW QVC POP (NEW G-VIAL 2.0 W/ BLUE TIP) - 10 G-VIALS/KIT,Components
A309513,New QVC G-Vial Refill Kit with 1 Lip care tube (NEW G-VIAL 2.0 w/ blue tip),Components
A40 1:4,"GEL, 40% ACTIVATOR FOR 1:4 DUAL-BARREL",Components
A7395,"Protective Bite Block Cover, Box of 100 Provecta S-Pan",Machinery & Equip
A88005,Dentsply Disposa-Shield Contra Angle,Infection Control
A88006,Dentsply Disposa-Shield Lslg,Infection Control
A88007,Dentsply Disposa-Shield A/W Syringe,Infection Control
A88008,Dentsply Disposa-Shield Light Handle,Infection Control
A880095,Dentsply Disposa-Shield Hose,Infection Control
A880105,Dentsply Disposa-Shield Chair,Infection Control
A880115,Dentsply Disposa-Shield Mp Sht,Infection Control
A88013,Dentsply Disposa-Shield Deliv.Syringe,Infection Control
A88014,Dentsply Disposa-Shield Tray 10.5X14.5,Infection Control
A88015,Dentsply Disposa-Shield Tray12X17,Infection Control
A88016,Dentsply Disposa-Shield Headrest,Infection Control
A88018,"DISPOSABLEOSABLEBLE SHIELD , RDH FREEDOM, CS,",Infection Control
A88019,Dentsply Disposa-Shield Cordless Prophy System Inner Mod,Infection Control
AC-001,"ALUMINUM CHLORIDE, HEXAHYDRATE (PART# AL225)",Raw Mats and Spares
ACP-001,AMORPHOUS CALCIUM PHOSPHATE,Whitening
AD32010FG,Dentsply Topex Dual Arch Tray Pedo,Preventive
AD32011FG,Dentsply Topex Dual Arch Tray Small,Impression & Accs
AD32012FG,Dentsply Topex Dual Arch Tray Medium,Impression & Accs
AD32013FG,Dentsply Topex Dual Arch Tray Large,Impression & Accs
AD32101FG,Dentsply Topex Single Arch Tray Small,Impression & Accs
AD32102FG,Dentsply Topex Single Arch Trays Medium,Impression & Accs
AD32103FG,Dentsply Topex Single Arch Tray Large,Impression & Accs
AD33000FG,Dentsply 3-Way Trays- Intro Pack Assorted Sizes,Impression & Accs
AD33001FG,Dentsply 3-Way Tray - Anterior,Impression & Accs
AD33002FG,Dentsply 3-Way Tray- Posterior,Impression & Accs
AD33003FG,Dentsply 3-Way Tray- Quadrant,Impression & Accs
AD33004FG,Dentsply 3-Way Tray- Posterior Sideless,Impression & Accs
AD33005FG,Dentsply 3-Way Tray Wide Body Posterior,Impression & Accs
AD33050,DENTRAY II #7P IMPRESSION TRAYS ASSORTED PKG. OF 12,Impression & Accs
AD33050FG,Dentsply Dentray Ii Impression Trays Assorted,Impression & Accs
AD33051FG,Dentsply Dentray Ii #1P Large-Upper Perforated,Impression & Accs
AD33052FG,Dentsply Dentray Ii #2P Large Lower Perforated,Impression & Accs
AD33053FG,Dentsply Dentray Ii #3 Medium-Upper Perforated,Impression & Accs
AD33054,DENTRAY II #4 P MEDIUM LOWER PERFORATED PKG. OF 12,Impression & Accs
AD33054FG,Dentsply Dentray Ii #4P Medium-Lower Perforated,Impression & Accs
AD33055FG,Dentsply Dentray Ii #5P Small-Upper Perforated,Impression & Accs
AD33056FG,Dentsply Dentray Ii #6P Small-Lower Perforated,Impression & Accs
AD33057FG,Dentsply Dentray Ii #7P Upper Left/Lower Right Perforated,Impression & Accs
AD33058FG,Dentsply Dentray Ii #8P Upper Right/Lower Left Perforated,Impression & Accs
AD33059FG,Dentsply Dentray Ii #9P Upper-Anterior Perforated,Impression & Accs
AD33060FG,Dentsply Dentray Ii #10P Lower-Anterior Perforated,Impression & Accs
ADI-144,Pac-Dent PPE Armor Drape-It Disposable Face Shield Drapes (the face shield is not included),Infection Control
ADI-24,"ARMOR DRAPE-IT DISPOSABLE FACE SHIELD DRAPES, 24/PACK (THE FACE SHIELD IS NOT INCLUDED)",Infection Control
ADI-38,"ARMOR DRAPE-IT DISPOSABLE FACE SHIELD DRAPES, 38/PACK (THE FACE SHIELD IS NOT INCLUDED)",Infection Control
ADPD123,Advance Temp C&B Refill A1 10:1 50ml ADV 1000121,Cosmetic&Restoration
ADPD-123,ADVANCE TEMP C&B REFILL A1 10:1 50ML ADV 1000121,Cosmetic&Restoration
ADPD124,Advance Temp C&B Refill A2 10:1 50ml ADV 1000122,Cosmetic&Restoration
ADPD-124,ADVANCE TEMP C&B REFILL A2 10:1 50ML ADV 1000122,Cosmetic&Restoration
ADPD125,Advance Temp C&B Refill A3 10:1 50ml ADV 1000123,Cosmetic&Restoration
ADPD-125,ADVANCE TEMP C&B REFILL A3 10:1 50ML ADV 1000123,Cosmetic&Restoration
ADPE-VI-01,"Advance Pulp Vitality Refrigerant Spray, 1 Bottle, 6 Oz.",Endodontic
ADPE-VI-12,Advance Pulp Vitality Cold Spray Adv 800001,Endodontic
Aerosil R812 S,70022 TS-530,3D Resin
AF-001,ARISTOFLEX AVC (AMMONIUM ACRYLOYLDIMETHYLTAURATE),Raw Mats and Spares
AM100,"AM-TOUCH Syringe Sleeve W/Opening, Clear, 2 1/2"" X 10""",Infection Control
AM100B,"AM-TOUCH Syringe Sleeve W/opening, Blue, 2 1/2"" X 10""",Infection Control
AM101,"AM-TOUCH B Tray Sleeves, 10 1/2"" X 14""",Infection Control
AM101A,"AM-TOUCH A Tray Sleeves, 11 5/8"" X 14 1/2""",Infection Control
AM101B,"AM-006SSC [02006374] PATIENT ARMOR TRAY SLEEVES 10.5''*14'' CLEAR-500/BX, 6BOX/CTN",Infection Control
AM102,"AM-TOUCH Headrest Cover, 11"" X 9 1/2"" X 2""",Infection Control
AM103,"AM-TOUCH Headrest Cover, 14"" X 9 1/2"" X 2""",Infection Control
AM105-250AST,"AM-TOUCH Kroma Tip, Air/Water Syringe Tip, Pa001Aw",Infection Control
AM111,"AM-TOUCH Full Chair Sleeves, 29"" X 80""",Infection Control
AM112,"AM-TOUCH Half Chair Sleeves, 27 1/2"" X 24""",Infection Control
AMPD186,AM-TOUCH Bite Registration Fast set 2x50 ml cartridges & 6 mixing tips,Impression & Accs
AMPD-186,"FAST SET, 2 X 50ML CARTRIDGES & 6 MIXING TIPS",Impression & Accs
AMPD190,AM-TOUCH Bite Registration Regular set 2 x 50ml cartridges & 6 mixing tips,Impression & Accs
AMPD-190,"REGULAR SET, 2 X 50ML CARTRIDGES & 6 MIXING TIPS",Impression & Accs
AP-01,Pac-Dent PPE iApron Patient Protective Aprons White 27'' (W) x 44'' (L),Infection Control
AP1-15-21,Size 15 Blades for Reciprocate 1 21 mm files,Endodontic
AP1-15-25,Size 15 Blades for Reciprocate 1 25 mm files,Endodontic
